,date,Snow water equivalent
12374,2017-11-17 13:00:00+00:00,1.4
12375,2017-11-18 13:00:00+00:00,1.19
12376,2017-11-19 13:00:00+00:00,0.69
12377,2017-11-20 13:00:00+00:00,0.48
12378,2017-11-21 13:00:00+00:00,0.98
12379,2017-11-22 13:00:00+00:00,1.27
12380,2017-11-23 13:00:00+00:00,1.05
12381,2017-11-24 13:00:00+00:00,1.05
12382,2017-11-25 13:00:00+00:00,1.36
12383,2017-11-26 13:00:00+00:00,1.32
12384,2017-11-27 13:00:00+00:00,1.26
12385,2017-11-28 13:00:00+00:00,1.97
12386,2017-11-29 13:00:00+00:00,1.52
12387,2017-11-30 13:00:00+00:00,1.5
12388,2017-12-01 13:00:00+00:00,1.46
12389,2017-12-02 13:00:00+00:00,1.72
12390,2017-12-03 13:00:00+00:00,0.66
12391,2017-12-04 13:00:00+00:00,1.51
12392,2017-12-05 13:00:00+00:00,1.07
12393,2017-12-06 13:00:00+00:00,1.49
12394,2017-12-07 13:00:00+00:00,1.63
12395,2017-12-08 13:00:00+00:00,1.51
12396,2017-12-09 13:00:00+00:00,1.25
12397,2017-12-10 13:00:00+00:00,1.35
12398,2017-12-11 13:00:00+00:00,1.34
12399,2017-12-12 13:00:00+00:00,0.97
12400,2017-12-13 13:00:00+00:00,0.88
12401,2017-12-14 13:00:00+00:00,0.77
12402,2017-12-15 13:00:00+00:00,1.27
12403,2017-12-16 13:00:00+00:00,0.75
12404,2017-12-17 13:00:00+00:00,1.46
12405,2017-12-18 13:00:00+00:00,0.94
12406,2017-12-19 13:00:00+00:00,1.09
12407,2017-12-20 13:00:00+00:00,0.34
12408,2017-12-21 13:00:00+00:00,1.46
12409,2017-12-22 13:00:00+00:00,0.72
12410,2017-12-23 13:00:00+00:00,0.44
12411,2017-12-24 13:00:00+00:00,0.66
12412,2017-12-25 13:00:00+00:00,1.1
12413,2017-12-26 13:00:00+00:00,0.71
12414,2017-12-27 13:00:00+00:00,1.61
12415,2017-12-28 13:00:00+00:00,1.45
12416,2017-12-29 13:00:00+00:00,1.54
12417,2017-12-30 13:00:00+00:00,1.13
12418,2017-12-31 13:00:00+00:00,0.65
12419,2018-01-01 13:00:00+00:00,1.2
12420,2018-01-02 13:00:00+00:00,0.97
12421,2018-01-03 13:00:00+00:00,1.67
12422,2018-01-04 13:00:00+00:00,0.96
12423,2018-01-05 13:00:00+00:00,2.89
12424,2018-01-06 13:00:00+00:00,2.41
12425,2018-01-07 13:00:00+00:00,4.9
12426,2018-01-08 13:00:00+00:00,2.5
12427,2018-01-09 13:00:00+00:00,3.43
12428,2018-01-10 13:00:00+00:00,3.72
12429,2018-01-11 13:00:00+00:00,3.88
12430,2018-01-12 13:00:00+00:00,4.05
12431,2018-01-13 13:00:00+00:00,4.49
12432,2018-01-14 13:00:00+00:00,4.3
12433,2018-01-15 13:00:00+00:00,4.14
12434,2018-01-16 13:00:00+00:00,4.01
12435,2018-01-17 13:00:00+00:00,4.0
12436,2018-01-18 13:00:00+00:00,3.96
12437,2018-01-19 13:00:00+00:00,3.53
12438,2018-01-20 13:00:00+00:00,4.26
12439,2018-01-21 13:00:00+00:00,3.63
12440,2018-01-22 13:00:00+00:00,3.35
12441,2018-01-23 13:00:00+00:00,2.93
12442,2018-01-24 13:00:00+00:00,2.67
12443,2018-01-25 13:00:00+00:00,3.0
12444,2018-01-26 13:00:00+00:00,4.07
12445,2018-01-27 13:00:00+00:00,3.94
12446,2018-01-28 13:00:00+00:00,4.33
12447,2018-01-29 13:00:00+00:00,4.41
12448,2018-01-30 13:00:00+00:00,4.31
12449,2018-01-31 13:00:00+00:00,4.25
12450,2018-02-01 13:00:00+00:00,3.98
12451,2018-02-02 13:00:00+00:00,3.85
12452,2018-02-03 13:00:00+00:00,3.65
12453,2018-02-04 13:00:00+00:00,3.28
12454,2018-02-05 13:00:00+00:00,3.25
12455,2018-02-06 13:00:00+00:00,3.05
12456,2018-02-07 13:00:00+00:00,3.14
12457,2018-02-08 13:00:00+00:00,3.68
12458,2018-02-09 13:00:00+00:00,4.56
12459,2018-02-10 13:00:00+00:00,6.5
12460,2018-02-11 13:00:00+00:00,3.79
12461,2018-02-12 13:00:00+00:00,8.45
12462,2018-02-13 13:00:00+00:00,6.09
12463,2018-02-14 13:00:00+00:00,6.42
12464,2018-02-15 13:00:00+00:00,6.57
12465,2018-02-16 13:00:00+00:00,6.34
12466,2018-02-17 13:00:00+00:00,6.29
12467,2018-02-18 13:00:00+00:00,7.93
12468,2018-02-19 13:00:00+00:00,7.74
12469,2018-02-20 12:00:00+00:00,7.38
12470,2018-02-21 13:00:00+00:00,7.39
12471,2018-02-22 13:00:00+00:00,7.33
12472,2018-02-23 13:00:00+00:00,4.57
12473,2018-02-24 13:00:00+00:00,6.26
12474,2018-02-25 13:00:00+00:00,6.91
12475,2018-02-26 13:00:00+00:00,6.22
12476,2018-02-27 13:00:00+00:00,5.76
12477,2018-02-28 13:00:00+00:00,6.16
12478,2018-03-01 13:00:00+00:00,5.82
12479,2018-03-02 13:00:00+00:00,5.35
12480,2018-03-03 13:00:00+00:00,5.97
12481,2018-03-04 13:00:00+00:00,6.53
12482,2018-03-05 13:00:00+00:00,6.68
12483,2018-03-06 13:00:00+00:00,6.88
12484,2018-03-07 13:00:00+00:00,6.98
12485,2018-03-08 13:00:00+00:00,6.84
12486,2018-03-09 13:00:00+00:00,6.25
12487,2018-03-10 13:00:00+00:00,6.49
12488,2018-03-11 12:00:00+00:00,7.06
12489,2018-03-12 12:00:00+00:00,7.8
12490,2018-03-13 12:00:00+00:00,7.91
12491,2018-03-14 12:00:00+00:00,8.14
12492,2018-03-15 12:00:00+00:00,8.6
12493,2018-03-16 12:00:00+00:00,8.58
12494,2018-03-17 12:00:00+00:00,9.36
12495,2018-03-18 12:00:00+00:00,9.36
12496,2018-03-19 12:00:00+00:00,9.35
12497,2018-03-20 12:00:00+00:00,9.38
12498,2018-03-21 12:00:00+00:00,9.35
12499,2018-03-22 12:00:00+00:00,10.19
12500,2018-03-23 12:00:00+00:00,11.21
12501,2018-03-24 12:00:00+00:00,11.06
12502,2018-03-25 12:00:00+00:00,10.85
12503,2018-03-26 12:00:00+00:00,10.8
12504,2018-03-27 12:00:00+00:00,10.55
12505,2018-03-28 12:00:00+00:00,10.39
12506,2018-03-29 12:00:00+00:00,10.06
12507,2018-03-30 12:00:00+00:00,9.69
12508,2018-03-31 12:00:00+00:00,9.37
12509,2018-04-01 14:00:00+00:00,8.99
12510,2018-04-02 12:00:00+00:00,8.52
12511,2018-04-03 12:00:00+00:00,8.2
12512,2018-04-04 12:00:00+00:00,7.69
12513,2018-04-05 12:00:00+00:00,7.41
12514,2018-04-06 12:00:00+00:00,6.4
12515,2018-04-07 12:00:00+00:00,4.93
12516,2018-04-08 12:00:00+00:00,3.44
12517,2018-04-09 12:00:00+00:00,2.43
12518,2018-04-10 12:00:00+00:00,1.29
12519,2018-04-11 12:00:00+00:00,0.57
12520,2018-04-12 12:00:00+00:00,0.78
12521,2018-04-13 12:00:00+00:00,2.4
12522,2018-04-14 12:00:00+00:00,1.72
12523,2018-04-15 12:00:00+00:00,1.14
12524,2018-04-16 12:00:00+00:00,0.68
12525,2018-04-17 12:00:00+00:00,0.97
12526,2018-04-18 12:00:00+00:00,1.64
12527,2018-04-19 12:00:00+00:00,0.74
12528,2018-04-20 12:00:00+00:00,2.04
12529,2018-04-21 12:00:00+00:00,0.56
12541,2018-05-03 12:00:00+00:00,0.17
12549,2018-05-11 12:00:00+00:00,0.0
12559,2018-05-21 12:00:00+00:00,0.11
12564,2018-05-26 12:00:00+00:00,0.05
12565,2018-05-27 12:00:00+00:00,0.02
12567,2018-05-29 12:00:00+00:00,0.06
12568,2018-05-30 12:00:00+00:00,0.06
12569,2018-05-31 12:00:00+00:00,0.07
12572,2018-06-03 12:00:00+00:00,0.06
12573,2018-06-04 12:00:00+00:00,0.1
12574,2018-06-05 12:00:00+00:00,0.13
12575,2018-06-06 12:00:00+00:00,0.1
12576,2018-06-07 12:00:00+00:00,0.08
12577,2018-06-08 12:00:00+00:00,0.08
12578,2018-06-09 12:00:00+00:00,0.1
12579,2018-06-10 12:00:00+00:00,0.09
12580,2018-06-11 12:00:00+00:00,0.12
12581,2018-06-12 12:00:00+00:00,0.16
12582,2018-06-13 12:00:00+00:00,0.17
12583,2018-06-14 12:00:00+00:00,0.19
12584,2018-06-15 12:00:00+00:00,0.17
12585,2018-06-16 12:00:00+00:00,0.15
12586,2018-06-17 12:00:00+00:00,0.14
12587,2018-06-18 12:00:00+00:00,0.03
12588,2018-06-19 12:00:00+00:00,0.1
12589,2018-06-20 12:00:00+00:00,0.16
12590,2018-06-21 12:00:00+00:00,0.14
12591,2018-06-22 12:00:00+00:00,0.14
12592,2018-06-23 12:00:00+00:00,0.16
12593,2018-06-24 12:00:00+00:00,0.16
12594,2018-06-25 12:00:00+00:00,0.2
12595,2018-06-26 12:00:00+00:00,0.21
12596,2018-06-27 12:00:00+00:00,0.21
12597,2018-06-28 12:00:00+00:00,0.14
12598,2018-06-29 12:00:00+00:00,0.14
12599,2018-06-30 12:00:00+00:00,0.18
12600,2018-07-01 12:00:00+00:00,0.2
12601,2018-07-02 12:00:00+00:00,0.23
12602,2018-07-03 12:00:00+00:00,0.23
12603,2018-07-04 12:00:00+00:00,0.18
12604,2018-07-05 12:00:00+00:00,0.09
12605,2018-07-06 12:00:00+00:00,0.15
12606,2018-07-07 12:00:00+00:00,0.21
12607,2018-07-08 12:00:00+00:00,0.22
12608,2018-07-09 12:00:00+00:00,0.29
12609,2018-07-10 12:00:00+00:00,0.3
12610,2018-07-11 12:00:00+00:00,0.42
12611,2018-07-12 12:00:00+00:00,0.32
12612,2018-07-13 12:00:00+00:00,0.29
12613,2018-07-14 12:00:00+00:00,0.28
12614,2018-07-15 12:00:00+00:00,0.28
12615,2018-07-16 12:00:00+00:00,0.28
12616,2018-07-17 12:00:00+00:00,0.28
12617,2018-07-18 12:00:00+00:00,0.43
12618,2018-07-19 12:00:00+00:00,0.21
12619,2018-07-20 12:00:00+00:00,0.24
12620,2018-07-21 12:00:00+00:00,0.26
12621,2018-07-22 12:00:00+00:00,0.18
12622,2018-07-23 12:00:00+00:00,0.3
12623,2018-07-24 12:00:00+00:00,0.33
12624,2018-07-25 12:00:00+00:00,0.31
12625,2018-07-26 12:00:00+00:00,0.28
12626,2018-07-27 12:00:00+00:00,0.35
12627,2018-07-28 12:00:00+00:00,0.4
12628,2018-07-29 12:00:00+00:00,0.4
12629,2018-07-30 12:00:00+00:00,0.41
12630,2018-07-31 12:00:00+00:00,0.45
12631,2018-08-01 12:00:00+00:00,0.07
12632,2018-08-02 12:00:00+00:00,0.17
12633,2018-08-03 12:00:00+00:00,0.2
12634,2018-08-04 12:00:00+00:00,0.17
12635,2018-08-05 12:00:00+00:00,0.15
12636,2018-08-06 12:00:00+00:00,0.12
12637,2018-08-07 12:00:00+00:00,0.04
12639,2018-08-09 12:00:00+00:00,0.1
12640,2018-08-10 12:00:00+00:00,0.14
12648,2018-08-18 12:00:00+00:00,0.06
12744,2018-11-22 13:00:00+00:00,0.26
12745,2018-11-23 13:00:00+00:00,0.41
12746,2018-11-24 13:00:00+00:00,0.57
12747,2018-11-25 13:00:00+00:00,0.48
12748,2018-11-26 13:00:00+00:00,0.41
12749,2018-11-27 13:00:00+00:00,0.46
12750,2018-11-28 13:00:00+00:00,0.5
12751,2018-11-29 13:00:00+00:00,1.58
12752,2018-11-30 13:00:00+00:00,5.24
12753,2018-12-01 13:00:00+00:00,5.21
12754,2018-12-02 13:00:00+00:00,5.41
12755,2018-12-03 13:00:00+00:00,5.4
12756,2018-12-04 13:00:00+00:00,5.41
12757,2018-12-05 13:00:00+00:00,5.58
12758,2018-12-06 13:00:00+00:00,5.89
12759,2018-12-07 13:00:00+00:00,6.25
12760,2018-12-08 13:00:00+00:00,6.2
12761,2018-12-09 13:00:00+00:00,6.21
12762,2018-12-10 13:00:00+00:00,6.28
12763,2018-12-11 13:00:00+00:00,6.32
12764,2018-12-12 13:00:00+00:00,6.34
12765,2018-12-13 13:00:00+00:00,6.33
12766,2018-12-14 13:00:00+00:00,6.36
12767,2018-12-15 13:00:00+00:00,6.37
12768,2018-12-16 13:00:00+00:00,6.37
12769,2018-12-17 13:00:00+00:00,6.5
12770,2018-12-18 13:00:00+00:00,6.54
12771,2018-12-19 13:00:00+00:00,6.53
12772,2018-12-20 13:00:00+00:00,6.54
12773,2018-12-21 13:00:00+00:00,6.55
12774,2018-12-22 13:00:00+00:00,6.45
12775,2018-12-23 13:00:00+00:00,6.44
12776,2018-12-24 13:00:00+00:00,6.46
12777,2018-12-25 13:00:00+00:00,7.17
12778,2018-12-26 13:00:00+00:00,7.18
12779,2018-12-27 13:00:00+00:00,7.19
12780,2018-12-28 13:00:00+00:00,7.21
12781,2018-12-29 13:00:00+00:00,7.17
12782,2018-12-30 13:00:00+00:00,7.18
12783,2018-12-31 13:00:00+00:00,7.25
12784,2019-01-01 13:00:00+00:00,7.24
12785,2019-01-02 13:00:00+00:00,7.21
12786,2019-01-03 13:00:00+00:00,7.22
12787,2019-01-04 13:00:00+00:00,7.25
12788,2019-01-05 13:00:00+00:00,7.29
12789,2019-01-06 13:00:00+00:00,8.09
12790,2019-01-07 15:00:00+00:00,9.29
12791,2019-01-08 13:00:00+00:00,9.28
12792,2019-01-09 13:00:00+00:00,9.28
12793,2019-01-10 13:00:00+00:00,9.42
12794,2019-01-11 13:00:00+00:00,9.41
12795,2019-01-12 13:00:00+00:00,9.44
12796,2019-01-13 13:00:00+00:00,9.48
12797,2019-01-14 13:00:00+00:00,9.52
12798,2019-01-15 13:00:00+00:00,10.25
12799,2019-01-16 13:00:00+00:00,10.86
12800,2019-01-17 13:00:00+00:00,12.56
12801,2019-01-18 13:00:00+00:00,14.59
12802,2019-01-19 13:00:00+00:00,14.53
12803,2019-01-20 13:00:00+00:00,14.52
12804,2019-01-21 15:00:00+00:00,15.25
12805,2019-01-22 13:00:00+00:00,15.08
12806,2019-01-23 13:00:00+00:00,14.92
12807,2019-01-24 13:00:00+00:00,14.84
12808,2019-01-25 13:00:00+00:00,14.76
12809,2019-01-26 13:00:00+00:00,14.72
12810,2019-01-27 13:00:00+00:00,14.76
12811,2019-01-28 13:00:00+00:00,14.81
12812,2019-01-29 13:00:00+00:00,14.91
12813,2019-01-30 13:00:00+00:00,15.04
12814,2019-01-31 13:00:00+00:00,15.09
12815,2019-02-01 13:00:00+00:00,15.08
12816,2019-02-02 13:00:00+00:00,15.53
12817,2019-02-03 13:00:00+00:00,17.7
12818,2019-02-04 13:00:00+00:00,19.26
12819,2019-02-05 13:00:00+00:00,21.8
12820,2019-02-06 13:00:00+00:00,22.78
12821,2019-02-07 13:00:00+00:00,22.79
12822,2019-02-08 13:00:00+00:00,22.82
12823,2019-02-09 13:00:00+00:00,23.22
12824,2019-02-10 13:00:00+00:00,23.43
12825,2019-02-11 13:00:00+00:00,24.58
12826,2019-02-12 13:00:00+00:00,24.6
12827,2019-02-13 13:00:00+00:00,24.59
12828,2019-02-14 13:00:00+00:00,25.77
12829,2019-02-15 13:00:00+00:00,28.03
12830,2019-02-16 13:00:00+00:00,29.24
12831,2019-02-17 13:00:00+00:00,29.55
12832,2019-02-18 13:00:00+00:00,29.83
12833,2019-02-19 13:00:00+00:00,29.87
12834,2019-02-20 13:00:00+00:00,29.85
12835,2019-02-21 13:00:00+00:00,29.81
12836,2019-02-22 13:00:00+00:00,29.76
12837,2019-02-23 13:00:00+00:00,29.58
12838,2019-02-24 13:00:00+00:00,29.51
12839,2019-02-25 13:00:00+00:00,29.43
12840,2019-02-26 13:00:00+00:00,29.3
12841,2019-02-27 13:00:00+00:00,29.1
12842,2019-02-28 13:00:00+00:00,29.29
12843,2019-03-01 13:00:00+00:00,29.35
12844,2019-03-02 13:00:00+00:00,29.61
12845,2019-03-03 13:00:00+00:00,31.54
12846,2019-03-04 13:00:00+00:00,31.56
12847,2019-03-05 13:00:00+00:00,31.35
12848,2019-03-06 13:00:00+00:00,34.63
12849,2019-03-07 13:00:00+00:00,35.64
12850,2019-03-08 15:00:00+00:00,35.88
12851,2019-03-09 13:00:00+00:00,35.82
12852,2019-03-10 12:00:00+00:00,35.75
12853,2019-03-11 12:00:00+00:00,35.68
12854,2019-03-12 12:00:00+00:00,35.58
12855,2019-03-13 12:00:00+00:00,35.4
12856,2019-03-14 12:00:00+00:00,35.37
12857,2019-03-15 12:00:00+00:00,35.32
12858,2019-03-16 12:00:00+00:00,35.17
12859,2019-03-17 12:00:00+00:00,35.02
12860,2019-03-18 12:00:00+00:00,34.81
12861,2019-03-19 12:00:00+00:00,34.56
12862,2019-03-20 12:00:00+00:00,34.92
12863,2019-03-21 12:00:00+00:00,34.97
12864,2019-03-22 12:00:00+00:00,34.97
12865,2019-03-23 12:00:00+00:00,34.92
12866,2019-03-24 12:00:00+00:00,35.07
12867,2019-03-25 12:00:00+00:00,34.99
12868,2019-03-26 12:00:00+00:00,34.79
12869,2019-03-27 12:00:00+00:00,34.67
12870,2019-03-28 12:00:00+00:00,35.03
12871,2019-03-29 12:00:00+00:00,35.3
12872,2019-03-30 12:00:00+00:00,34.92
12873,2019-03-31 12:00:00+00:00,34.19
12874,2019-04-01 12:00:00+00:00,33.66
12875,2019-04-02 12:00:00+00:00,33.21
12876,2019-04-03 12:00:00+00:00,34.24
12877,2019-04-04 12:00:00+00:00,34.3
12878,2019-04-05 12:00:00+00:00,34.38
12879,2019-04-06 12:00:00+00:00,34.01
12880,2019-04-07 12:00:00+00:00,33.27
12881,2019-04-08 12:00:00+00:00,33.51
12882,2019-04-09 12:00:00+00:00,32.75
12883,2019-04-10 12:00:00+00:00,32.22
12884,2019-04-11 12:00:00+00:00,31.89
12885,2019-04-12 12:00:00+00:00,31.65
12886,2019-04-13 12:00:00+00:00,31.77
12887,2019-04-14 12:00:00+00:00,30.71
12888,2019-04-15 12:00:00+00:00,30.49
12889,2019-04-16 12:00:00+00:00,29.62
12890,2019-04-17 12:00:00+00:00,29.51
12891,2019-04-18 12:00:00+00:00,28.82
12892,2019-04-19 12:00:00+00:00,28.28
12893,2019-04-20 12:00:00+00:00,27.52
12894,2019-04-21 12:00:00+00:00,26.61
12895,2019-04-22 12:00:00+00:00,26.22
12896,2019-04-23 12:00:00+00:00,25.44
12897,2019-04-24 12:00:00+00:00,24.98
12898,2019-04-25 12:00:00+00:00,24.23
12899,2019-04-26 12:00:00+00:00,22.94
12900,2019-04-27 12:00:00+00:00,21.03
12901,2019-04-28 12:00:00+00:00,18.96
12902,2019-04-29 12:00:00+00:00,16.92
12903,2019-04-30 12:00:00+00:00,15.74
12904,2019-05-01 12:00:00+00:00,13.06
12905,2019-05-02 12:00:00+00:00,12.6
12906,2019-05-03 12:00:00+00:00,10.3
12907,2019-05-04 12:00:00+00:00,8.92
12908,2019-05-05 12:00:00+00:00,7.88
12909,2019-05-06 12:00:00+00:00,6.91
12910,2019-05-07 12:00:00+00:00,5.84
12911,2019-05-08 12:00:00+00:00,5.69
12912,2019-05-09 12:00:00+00:00,4.27
12913,2019-05-10 09:00:00+00:00,4.34
12914,2019-05-11 12:00:00+00:00,3.64
12915,2019-05-12 12:00:00+00:00,3.46
12916,2019-05-13 12:00:00+00:00,3.25
12917,2019-05-14 12:00:00+00:00,2.84
12918,2019-05-15 12:00:00+00:00,2.38
12919,2019-05-16 12:00:00+00:00,2.7
12920,2019-05-17 12:00:00+00:00,2.86
12921,2019-05-18 12:00:00+00:00,2.85
12922,2019-05-19 12:00:00+00:00,2.9
12923,2019-05-20 12:00:00+00:00,3.17
12924,2019-05-21 12:00:00+00:00,2.77
12925,2019-05-22 12:00:00+00:00,2.77
12926,2019-05-23 12:00:00+00:00,3.08
12927,2019-05-24 12:00:00+00:00,3.19
12928,2019-05-25 14:00:00+00:00,2.62
12929,2019-05-26 12:00:00+00:00,2.03
12930,2019-05-27 12:00:00+00:00,2.28
12931,2019-05-28 12:00:00+00:00,2.1
12932,2019-05-29 12:00:00+00:00,1.73
12933,2019-05-30 12:00:00+00:00,1.32
12934,2019-05-31 12:00:00+00:00,0.57
12935,2019-06-01 12:00:00+00:00,0.49
12936,2019-06-02 12:00:00+00:00,0.27
12937,2019-06-03 12:00:00+00:00,0.31
12938,2019-06-04 12:00:00+00:00,0.27
12939,2019-06-05 12:00:00+00:00,0.3
12940,2019-06-06 12:00:00+00:00,0.24
12941,2019-06-07 12:00:00+00:00,0.26
12942,2019-06-08 12:00:00+00:00,0.24
12943,2019-06-09 12:00:00+00:00,0.12
12944,2019-06-10 12:00:00+00:00,0.09
12945,2019-06-11 12:00:00+00:00,0.08
12946,2019-06-12 12:00:00+00:00,0.1
12947,2019-06-13 12:00:00+00:00,0.11
12948,2019-06-14 12:00:00+00:00,0.08
12949,2019-06-15 12:00:00+00:00,0.02
12950,2019-06-16 12:00:00+00:00,0.0
12951,2019-06-17 12:00:00+00:00,0.03
12954,2019-06-20 12:00:00+00:00,0.06
12955,2019-06-21 12:00:00+00:00,0.05
12956,2019-06-22 12:00:00+00:00,0.02
12958,2019-06-24 12:00:00+00:00,0.0
12959,2019-06-25 12:00:00+00:00,0.03
12960,2019-06-26 12:00:00+00:00,0.03
12964,2019-06-30 12:00:00+00:00,0.0
12965,2019-07-01 12:00:00+00:00,0.0
