,date,Snow water equivalent
16754,2017-10-01 10:00:00+00:00,0.0
16755,2017-10-02 10:00:00+00:00,0.0
16756,2017-10-03 10:00:00+00:00,0.0
16757,2017-10-04 10:00:00+00:00,0.0
16758,2017-10-05 10:00:00+00:00,0.0
16759,2017-10-06 10:00:00+00:00,0.0
16760,2017-10-07 10:00:00+00:00,0.0
16761,2017-10-08 10:00:00+00:00,0.0
16762,2017-10-09 10:00:00+00:00,0.0
16763,2017-10-10 10:00:00+00:00,0.0
16764,2017-10-11 10:00:00+00:00,0.0
16765,2017-10-12 10:00:00+00:00,0.0
16766,2017-10-13 10:00:00+00:00,0.0
16767,2017-10-14 08:00:00+00:00,0.0
16768,2017-10-15 10:00:00+00:00,0.0
16769,2017-10-16 10:00:00+00:00,0.0
16770,2017-10-17 10:00:00+00:00,0.0
16771,2017-10-18 10:00:00+00:00,0.0
16772,2017-10-19 10:00:00+00:00,0.0
16773,2017-10-20 10:00:00+00:00,0.0
16774,2017-10-21 10:00:00+00:00,0.0
16775,2017-10-22 10:00:00+00:00,0.0
16776,2017-10-23 10:00:00+00:00,0.0
16777,2017-10-24 10:00:00+00:00,0.0
16778,2017-10-25 10:00:00+00:00,0.0
16779,2017-10-26 10:00:00+00:00,0.0
16780,2017-10-27 10:00:00+00:00,0.0
16781,2017-10-28 10:00:00+00:00,0.0
16782,2017-10-29 10:00:00+00:00,0.0
16783,2017-10-30 08:00:00+00:00,0.0
16784,2017-10-31 10:00:00+00:00,0.0
16785,2017-11-01 10:00:00+00:00,0.0
16786,2017-11-02 10:00:00+00:00,0.0
16787,2017-11-03 10:00:00+00:00,0.0
16788,2017-11-04 10:00:00+00:00,0.0
16789,2017-11-05 10:00:00+00:00,0.0
16790,2017-11-06 10:00:00+00:00,0.02
16791,2017-11-07 10:00:00+00:00,0.17
16792,2017-11-08 10:00:00+00:00,0.33
16793,2017-11-09 10:00:00+00:00,0.27
16794,2017-11-10 10:00:00+00:00,0.32
16795,2017-11-11 10:00:00+00:00,0.35
16796,2017-11-12 10:00:00+00:00,0.35
16797,2017-11-13 10:00:00+00:00,0.38
16798,2017-11-14 10:00:00+00:00,0.31
16799,2017-11-15 10:00:00+00:00,0.34
16800,2017-11-16 10:00:00+00:00,0.05
16801,2017-11-17 10:00:00+00:00,0.63
16802,2017-11-18 10:00:00+00:00,0.52
16803,2017-11-19 11:00:00+00:00,0.91
16804,2017-11-20 10:00:00+00:00,1.08
16805,2017-11-21 10:00:00+00:00,1.47
16806,2017-11-22 10:00:00+00:00,1.66
16807,2017-11-23 10:00:00+00:00,1.44
16808,2017-11-24 10:00:00+00:00,0.91
16809,2017-11-25 10:00:00+00:00,0.52
16810,2017-11-26 10:00:00+00:00,0.4
