,date,Snow water equivalent
17433,2017-10-01 10:00:00+00:00,0.51
17434,2017-10-02 10:00:00+00:00,0.51
17435,2017-10-03 10:00:00+00:00,0.51
17436,2017-10-04 10:00:00+00:00,0.51
17437,2017-10-05 10:00:00+00:00,0.51
17438,2017-10-06 10:00:00+00:00,0.51
17439,2017-10-07 10:00:00+00:00,0.51
17440,2017-10-08 10:00:00+00:00,0.51
17441,2017-10-09 10:00:00+00:00,0.51
17442,2017-10-10 10:00:00+00:00,0.51
17443,2017-10-11 10:00:00+00:00,0.51
17444,2017-10-12 10:00:00+00:00,0.51
17445,2017-10-13 10:00:00+00:00,0.51
17446,2017-10-14 08:00:00+00:00,0.51
17447,2017-10-15 10:00:00+00:00,0.51
17448,2017-10-16 10:00:00+00:00,0.51
17449,2017-10-17 10:00:00+00:00,0.51
17450,2017-10-18 10:00:00+00:00,0.51
17451,2017-10-19 10:00:00+00:00,0.51
17452,2017-10-20 10:00:00+00:00,0.51
17453,2017-10-21 10:00:00+00:00,0.51
17454,2017-10-22 10:00:00+00:00,0.51
17455,2017-10-23 10:00:00+00:00,0.51
17456,2017-10-24 10:00:00+00:00,0.51
17457,2017-10-25 10:00:00+00:00,0.51
17458,2017-10-26 10:00:00+00:00,0.51
17459,2017-10-27 10:00:00+00:00,0.51
17460,2017-10-28 10:00:00+00:00,0.51
17461,2017-10-29 10:00:00+00:00,0.51
17462,2017-10-30 08:00:00+00:00,0.51
17463,2017-10-31 10:00:00+00:00,0.51
17464,2017-11-01 10:00:00+00:00,0.51
17465,2017-11-02 10:00:00+00:00,0.51
17466,2017-11-03 10:00:00+00:00,0.51
17467,2017-11-04 10:00:00+00:00,0.5
17468,2017-11-05 10:00:00+00:00,0.48
17469,2017-11-06 10:00:00+00:00,0.48
17470,2017-11-07 10:00:00+00:00,0.48
17471,2017-11-08 10:00:00+00:00,0.48
17472,2017-11-09 10:00:00+00:00,0.48
17473,2017-11-10 10:00:00+00:00,0.48
17474,2017-11-11 10:00:00+00:00,0.48
17475,2017-11-12 10:00:00+00:00,0.48
17476,2017-11-13 10:00:00+00:00,0.48
17477,2017-11-14 10:00:00+00:00,0.48
17478,2017-11-15 10:00:00+00:00,0.48
17479,2017-11-16 10:00:00+00:00,0.49
17480,2017-11-17 10:00:00+00:00,1.82
17481,2017-11-18 10:00:00+00:00,2.01
17482,2017-11-19 11:00:00+00:00,2.01
17483,2017-11-20 10:00:00+00:00,2.01
17484,2017-11-21 10:00:00+00:00,2.01
17485,2017-11-22 10:00:00+00:00,2.01
17486,2017-11-23 10:00:00+00:00,2.01
17487,2017-11-24 10:00:00+00:00,2.01
17488,2017-11-25 10:00:00+00:00,2.11
17489,2017-11-26 10:00:00+00:00,2.11
17490,2017-11-27 10:00:00+00:00,2.13
17491,2017-11-28 10:00:00+00:00,2.26
17492,2017-11-29 10:00:00+00:00,2.26
17493,2017-11-30 10:00:00+00:00,2.26
17494,2017-12-01 10:00:00+00:00,2.26
17495,2017-12-02 10:00:00+00:00,2.26
17496,2017-12-03 10:00:00+00:00,2.25
17497,2017-12-04 10:00:00+00:00,2.25
17498,2017-12-05 10:00:00+00:00,2.22
17499,2017-12-06 10:00:00+00:00,2.17
17500,2017-12-07 10:00:00+00:00,2.16
17501,2017-12-08 10:00:00+00:00,2.16
17502,2017-12-09 10:00:00+00:00,2.16
17503,2017-12-10 10:00:00+00:00,2.16
17504,2017-12-11 10:00:00+00:00,2.16
17505,2017-12-12 10:00:00+00:00,2.16
17506,2017-12-13 10:00:00+00:00,2.16
17507,2017-12-14 10:00:00+00:00,2.15
17508,2017-12-15 12:00:00+00:00,2.09
17509,2017-12-16 12:00:00+00:00,2.09
17510,2017-12-17 12:00:00+00:00,2.04
17511,2017-12-18 12:00:00+00:00,1.93
17512,2017-12-19 12:00:00+00:00,1.93
17513,2017-12-20 12:00:00+00:00,1.87
17514,2017-12-21 12:00:00+00:00,1.8
17515,2017-12-22 12:00:00+00:00,1.8
17516,2017-12-23 12:00:00+00:00,1.81
17517,2017-12-24 12:00:00+00:00,1.8
17518,2017-12-25 12:00:00+00:00,1.78
17519,2017-12-26 12:00:00+00:00,1.78
17520,2017-12-27 10:00:00+00:00,1.77
17521,2017-12-28 12:00:00+00:00,1.77
17522,2017-12-29 12:00:00+00:00,1.77
17523,2017-12-30 12:00:00+00:00,1.77
17524,2017-12-31 12:00:00+00:00,1.77
17525,2018-01-01 12:00:00+00:00,1.77
17526,2018-01-02 12:00:00+00:00,1.77
17527,2018-01-03 12:00:00+00:00,1.87
17528,2018-01-04 12:00:00+00:00,1.87
17529,2018-01-05 12:00:00+00:00,1.87
17530,2018-01-06 12:00:00+00:00,1.87
17531,2018-01-07 12:00:00+00:00,1.89
17532,2018-01-08 12:00:00+00:00,1.9
17533,2018-01-09 12:00:00+00:00,2.8
17534,2018-01-10 12:00:00+00:00,3.33
17535,2018-01-11 12:00:00+00:00,3.33
17536,2018-01-12 12:00:00+00:00,3.33
17537,2018-01-13 12:00:00+00:00,3.33
17538,2018-01-14 12:00:00+00:00,3.33
17539,2018-01-15 12:00:00+00:00,3.33
17540,2018-01-16 12:00:00+00:00,3.33
17541,2018-01-17 12:00:00+00:00,3.33
17542,2018-01-18 12:00:00+00:00,3.33
17543,2018-01-19 12:00:00+00:00,3.32
17544,2018-01-20 12:00:00+00:00,3.32
17545,2018-01-21 12:00:00+00:00,3.32
17546,2018-01-22 12:00:00+00:00,3.32
17547,2018-01-23 12:00:00+00:00,3.32
17548,2018-01-24 12:00:00+00:00,3.32
17549,2018-01-25 12:00:00+00:00,3.32
17550,2018-01-26 12:00:00+00:00,3.32
17551,2018-01-27 12:00:00+00:00,3.33
17552,2018-01-28 12:00:00+00:00,3.33
17553,2018-01-29 12:00:00+00:00,3.33
17554,2018-01-30 12:00:00+00:00,3.33
17555,2018-01-31 12:00:00+00:00,3.33
17556,2018-02-01 12:00:00+00:00,3.33
17557,2018-02-02 12:00:00+00:00,3.33
17558,2018-02-03 12:00:00+00:00,3.32
17559,2018-02-04 12:00:00+00:00,3.32
17560,2018-02-05 12:00:00+00:00,3.32
17561,2018-02-06 12:00:00+00:00,3.32
17562,2018-02-07 12:00:00+00:00,3.32
17563,2018-02-08 12:00:00+00:00,3.32
17564,2018-02-09 12:00:00+00:00,3.32
17565,2018-02-10 12:00:00+00:00,3.31
17566,2018-02-11 12:00:00+00:00,3.3
17567,2018-02-12 12:00:00+00:00,3.29
17568,2018-02-13 12:00:00+00:00,3.31
17569,2018-02-14 12:00:00+00:00,3.31
17570,2018-02-15 12:00:00+00:00,3.32
17571,2018-02-16 10:00:00+00:00,3.31
17572,2018-02-17 10:00:00+00:00,3.31
17573,2018-02-18 10:00:00+00:00,3.31
17574,2018-02-19 09:00:00+00:00,3.33
17575,2018-02-20 10:00:00+00:00,3.33
17576,2018-02-21 09:00:00+00:00,3.33
17577,2018-02-22 10:00:00+00:00,3.34
17578,2018-02-23 10:00:00+00:00,3.34
17579,2018-02-24 10:00:00+00:00,3.35
17580,2018-02-25 10:00:00+00:00,3.35
17581,2018-02-26 10:00:00+00:00,3.35
17582,2018-02-27 10:00:00+00:00,3.35
17583,2018-02-28 10:00:00+00:00,3.6
17584,2018-03-01 10:00:00+00:00,3.61
17585,2018-03-02 10:00:00+00:00,4.95
17586,2018-03-03 10:00:00+00:00,5.87
17587,2018-03-04 10:00:00+00:00,5.86
17588,2018-03-05 10:00:00+00:00,5.87
17589,2018-03-06 10:00:00+00:00,5.87
17590,2018-03-07 10:00:00+00:00,5.87
17591,2018-03-08 10:00:00+00:00,5.87
17592,2018-03-09 10:00:00+00:00,5.88
17593,2018-03-10 10:00:00+00:00,5.88
17594,2018-03-11 10:00:00+00:00,5.91
17595,2018-03-12 10:00:00+00:00,5.97
17596,2018-03-13 10:00:00+00:00,6.03
17597,2018-03-14 12:00:00+00:00,6.46
17598,2018-03-15 12:00:00+00:00,6.57
17599,2018-03-16 12:00:00+00:00,6.66
17600,2018-03-17 12:00:00+00:00,7.2
17601,2018-03-18 12:00:00+00:00,7.21
17602,2018-03-19 12:00:00+00:00,7.23
17603,2018-03-20 12:00:00+00:00,7.25
17605,2018-03-22 12:00:00+00:00,9.47
17606,2018-03-23 10:00:00+00:00,11.51
17607,2018-03-24 11:00:00+00:00,11.59
17608,2018-03-25 12:00:00+00:00,11.59
17609,2018-03-26 10:00:00+00:00,11.59
17610,2018-03-27 10:00:00+00:00,11.6
17611,2018-03-28 10:00:00+00:00,11.74
17612,2018-03-29 12:00:00+00:00,11.74
17613,2018-03-30 10:00:00+00:00,11.74
17614,2018-03-31 10:00:00+00:00,11.74
17618,2018-04-04 10:00:00+00:00,11.69
17619,2018-04-05 08:00:00+00:00,11.69
17620,2018-04-06 10:00:00+00:00,11.69
17621,2018-04-07 08:00:00+00:00,11.48
17622,2018-04-08 10:00:00+00:00,11.07
17623,2018-04-09 08:00:00+00:00,10.76
17624,2018-04-10 09:00:00+00:00,10.69
17625,2018-04-11 12:00:00+00:00,10.47
17626,2018-04-12 11:00:00+00:00,9.82
17627,2018-04-13 12:00:00+00:00,9.82
17628,2018-04-14 12:00:00+00:00,9.71
17629,2018-04-15 12:00:00+00:00,9.61
17630,2018-04-16 11:00:00+00:00,9.43
17631,2018-04-17 11:00:00+00:00,9.13
17632,2018-04-18 12:00:00+00:00,9.35
17633,2018-04-19 12:00:00+00:00,9.35
17634,2018-04-20 10:00:00+00:00,9.34
17635,2018-04-21 10:00:00+00:00,9.62
17636,2018-04-22 10:00:00+00:00,9.61
17637,2018-04-23 10:00:00+00:00,9.47
17638,2018-04-24 10:00:00+00:00,9.07
17639,2018-04-25 10:00:00+00:00,8.76
17640,2018-04-26 10:00:00+00:00,7.94
17641,2018-04-27 10:00:00+00:00,7.37
17642,2018-04-28 10:00:00+00:00,7.13
17643,2018-04-29 10:00:00+00:00,6.59
17644,2018-04-30 10:00:00+00:00,6.81
17645,2018-05-01 10:00:00+00:00,6.88
17646,2018-05-02 10:00:00+00:00,6.31
17647,2018-05-03 10:00:00+00:00,7.0
17648,2018-05-04 10:00:00+00:00,6.42
17649,2018-05-05 10:00:00+00:00,6.01
17650,2018-05-06 10:00:00+00:00,5.27
17651,2018-05-07 10:00:00+00:00,4.43
17652,2018-05-08 10:00:00+00:00,3.28
17653,2018-05-09 10:00:00+00:00,2.65
17654,2018-05-10 10:00:00+00:00,2.13
17655,2018-05-11 10:00:00+00:00,1.74
17656,2018-05-12 10:00:00+00:00,1.35
17657,2018-05-13 10:00:00+00:00,1.26
17658,2018-05-14 10:00:00+00:00,1.19
17659,2018-05-15 10:00:00+00:00,1.11
17660,2018-05-16 10:00:00+00:00,1.1
17661,2018-05-17 10:00:00+00:00,0.1
